.thisRepN,.thisTrialN,.thisN,.thisIndex,.thisTrial,Block Number,Key pressed,Category,Correct?,Int Match?,Int Response,Int Correct?,Line Accuracy,Interference Accuracy,Matching Interferences,New instruction shown?,Buttons switched?,Fast?,gender,age
27,6,303,4,4,7,['k'],['k'],Y,N,None,Y,,,,,,,F,19
27,7,304,4,4,7,['k'],['k'],Y,N,['space'],N,,,,,,,F,19
27,8,305,8,8,7,['k'],['k'],Y,Y,['space'],Y,,,,,,,F,19
27,9,306,7,7,7,['d'],['d'],Y,N,None,Y,,,,,,,F,19
27,10,307,1,1,7,['d'],['d'],Y,Y,['space'],Y,,,,,,,F,19
28,0,308,8,8,7,['d'],['d'],Y,Y,['space'],Y,,,,,,,F,19
28,1,309,5,5,7,['k'],['k'],Y,Y,['space'],Y,,,,,,,F,19
28,2,310,8,8,7,['d'],['d'],Y,N,None,Y,,,,,,,F,19
28,3,311,3,3,7,['d'],['d'],Y,Y,['space'],Y,,,,,,,F,19
28,4,312,10,10,7,['d'],['d'],Y,N,None,Y,,,,,,,F,19
28,5,313,9,9,7,['d'],['d'],Y,N,None,Y,,,,,,,F,19
28,6,314,4,4,7,['k'],['k'],Y,N,None,Y,,,,,,,F,19
28,7,315,0,0,7,['k'],['k'],Y,Y,['space'],Y,,,,,,,F,19
28,8,316,0,0,7,['d'],['d'],Y,N,None,Y,,,,,,,F,19
28,9,317,3,3,7,['k'],['k'],Y,Y,None,N,,,,,,,F,19
28,10,318,8,8,7,['d'],['d'],Y,Y,['space'],Y,,,,,,,F,19
29,0,319,1,1,7,['d'],['d'],Y,Y,['space'],Y,,,,,,,F,19
29,1,320,7,7,7,['d'],['d'],Y,Y,['space'],Y,,,,,,,F,19
29,2,321,3,3,7,['k'],['k'],Y,N,None,Y,,,,,,,F,19
29,3,322,3,3,7,['k'],['k'],Y,N,None,Y,,,,,,,F,19
29,4,323,1,1,7,['k'],['d'],N,Y,['space'],Y,,,,,,,F,19
